stype, stype2, 1 - stype - stype2 
340.65868047, 283.01911278, 227.62706036
340.75587877, 283.11102647, 227.72021494
340.85301387, 283.20288009, 227.81333247
340.95008658, 283.29467446, 227.90641358
341.04709774, 283.38641037, 227.99945887
341.14404816, 283.47808864, 228.09246895
341.24093866, 283.56971004, 228.18544441
341.33777003, 283.66127536, 228.27838585
341.43454307, 283.75278537, 228.37129384
341.53125856, 283.84424085, 228.46416895
341.62791728, 283.93564254, 228.55701175
341.72451999, 284.02699120, 228.64982279
341.82106746, 284.11828758, 228.74260262
341.91756045, 284.20953242, 228.83535179
342.01399968, 284.30072644, 228.92807082
342.11038592, 284.39187037, 229.02076024
342.20671987, 284.48296493, 229.11342056
342.30300228, 284.57401083, 229.20605231
342.39923385, 284.66500877, 229.29865598
342.49541530, 284.75595945, 229.39123208
342.59154732, 284.84686357, 229.48378109
342.68763061, 284.93772180, 229.57630349
342.78366587, 285.02853483, 229.66879976
342.87965376, 285.11930333, 229.76127037
342.97559498, 285.21002796, 229.85371579
343.07149018, 285.30070939, 229.94613647
343.16734003, 285.39134827, 230.03853286
343.26314518, 285.48194524, 230.13090540
343.35890628, 285.57250096, 230.22325454
343.45462398, 285.66301606, 230.31558069
343.55029890, 285.75349117, 230.40788430
343.64593170, 285.84392691, 230.50016577
343.74152297, 285.93432391, 230.59242553
343.83707336, 286.02468278, 230.68466397
343.93258345, 286.11500413, 230.77688149
344.02805388, 286.20528856, 230.86907850
344.12348523, 286.29553668, 230.96125538
344.21887809, 286.38574908, 231.05341252
344.31423307, 286.47592635, 231.14555029
344.40955074, 286.56606906, 231.23766907
344.50483168, 286.65617780, 231.32976922
344.60007647, 286.74625315, 231.42185110
344.69528567, 286.83629567, 231.51391508
344.79045984, 286.92630592, 231.60596150
344.88559954, 287.01628447, 231.69799071
344.98070533, 287.10623187, 231.79000305
345.07577775, 287.19614866, 231.88199886
345.17081733, 287.28603541, 231.97397846
345.26582463, 287.37589264, 232.06594218
345.36080016, 287.46572089, 232.15789035
345.45574445, 287.55552070, 232.24982328
345.55065804, 287.64529259, 232.34174128
345.64554143, 287.73503709, 232.43364465
345.74039513, 287.82475471, 232.52553370
345.83521965, 287.91444598, 232.61740873
345.93001551, 288.00411139, 232.70927003
346.02478318, 288.09375147, 232.80111789
346.11952317, 288.18336670, 232.89295259
346.21423597, 288.27295760, 232.98477442
346.30892206, 288.36252466, 233.07658364
346.40358193, 288.45206836, 233.16838053
346.49821604, 288.54158919, 233.26016535
346.59282486, 288.63108764, 233.35193837
346.68740888, 288.72056419, 233.44369986
346.78196854, 288.81001931, 233.53545005
346.87650431, 288.89945347, 233.62718921
346.97101665, 288.98886715, 233.71891757
347.06550599, 289.07826081, 233.81063539
347.15997280, 289.16763490, 233.90234291
347.25441751, 289.25698990, 233.99404035
347.34884056, 289.34632625, 234.08572796
347.44324239, 289.43564440, 234.17740595
347.53762343, 289.52494481, 234.26907455
347.63198410, 289.61422791, 234.36073400
347.72632483, 289.70349415, 234.45238449
347.82064604, 289.79274396, 234.54402625
347.91494814, 289.88197779, 234.63565949
348.00923154, 289.97119605, 234.72728442
348.10349666, 290.06039919, 234.81890124
348.19774390, 290.14958763, 234.91051015
348.29197366, 290.23876178, 235.00211134
348.38618634, 290.32792207, 235.09370503
348.48038234, 290.41706892, 235.18529138
348.57456203, 290.50620273, 235.27687061
348.66872582, 290.59532392, 235.36844288
348.76287409, 290.68443290, 235.46000839
348.85700721, 290.77353006, 235.55156731
348.95112557, 290.86261582, 235.64311982
349.04522953, 290.95169057, 235.73466610
349.13931948, 291.04075471, 235.82620632
349.23339577, 291.12980863, 235.91774064
349.32745878, 291.21885273, 236.00926923
349.42150886, 291.30788739, 236.10079225
349.51554638, 291.39691299, 236.19230987
349.60957168, 291.48592992, 236.28382225
349.70358512, 291.57493857, 236.37532954
349.79758705, 291.66393930, 236.46683189
349.89157782, 291.75293250, 236.55832946
349.98555777, 291.84191854, 236.64982239
350.07952723, 291.93089779, 236.74131083
350.17348656, 292.01987061, 236.83279493
350.26743607, 292.10883738, 236.92427482
350.36137611, 292.19779845, 237.01575065
350.45530700, 292.28675420, 237.10722256
350.54922907, 292.37570497, 237.19869067
350.64314264, 292.46465113, 237.29015513
350.73704803, 292.55359302, 237.38161606
350.83094556, 292.64253101, 237.47307360
350.92483555, 292.73146544, 237.56452787
351.01871830, 292.82039665, 237.65597900
351.11259414, 292.90932501, 237.74742710
351.20646335, 292.99825084, 237.83887232
351.30032626, 293.08717449, 237.93031475
351.39418316, 293.17609631, 238.02175453
351.48803435, 293.26501662, 238.11319176
351.58188012, 293.35393577, 238.20462657
351.67572078, 293.44285408, 238.29605906
351.76955662, 293.53177190, 238.38748936
351.86338791, 293.62068954, 238.47891756
351.95721496, 293.70960734, 238.57034378
352.05103804, 293.79852562, 238.66176813
352.14485744, 293.88744471, 238.75319070
352.23867344, 293.97636493, 238.84461161
352.33248631, 294.06528660, 238.93603096
352.42629633, 294.15421003, 239.02744885
352.52010377, 294.24313556, 239.11886537
352.61390891, 294.33206348, 239.21028064
352.70771201, 294.42099411, 239.30169474
352.80151333, 294.50992777, 239.39310777
352.89531315, 294.59886477, 239.48451983
352.98911172, 294.68780541, 239.57593102
353.08290930, 294.77675000, 239.66734142
353.17670615, 294.86569885, 239.75875112
353.27050252, 294.95465225, 239.85016023
353.36429867, 295.04361052, 239.94156882
353.45809485, 295.13257394, 240.03297699
353.55189130, 295.22154283, 240.12438482
353.64568827, 295.31051747, 240.21579241
353.73948601, 295.39949816, 240.30719983
353.83328475, 295.48848520, 240.39860718
353.92708475, 295.57747888, 240.49001454
354.02088623, 295.66647949, 240.58142199
354.11468943, 295.75548732, 240.67282961
354.20849459, 295.84450266, 240.76423749
354.30230193, 295.93352579, 240.85564570
354.39611170, 296.02255701, 240.94705434
354.48992411, 296.11159659, 241.03846347
354.58373939, 296.20064482, 241.12987319
354.67755777, 296.28970197, 241.22128356
354.77137946, 296.37876834, 241.31269466
354.86520470, 296.46784420, 241.40410658
354.95903369, 296.55692982, 241.49551939
355.05286665, 296.64602549, 241.58693317
355.14670381, 296.73513147, 241.67834799
355.24054536, 296.82424804, 241.76976393
355.33439152, 296.91337548, 241.86118106
355.42824251, 297.00251405, 241.95259946
355.52209852, 297.09166403, 242.04401921
355.61595976, 297.18082569, 242.13544038
355.70982644, 297.26999928, 242.22686304
355.80369875, 297.35918509, 242.31828726
355.89757691, 297.44838337, 242.40971313
355.99146110, 297.53759439, 242.50114071
356.08535152, 297.62681842, 242.59257007
356.17924836, 297.71605571, 242.68400130
356.27315183, 297.80530652, 242.77543446
356.36706210, 297.89457113, 242.86686962
356.46097938, 297.98384977, 242.95830686
356.55490384, 298.07314273, 243.04974625
356.64883567, 298.16245024, 243.14118786
356.74277506, 298.25177257, 243.23263176
356.83672219, 298.34110998, 243.32407803
356.93067724, 298.43046271, 243.41552674
357.02464039, 298.51983102, 243.50697796
357.11861182, 298.60921516, 243.59843177
357.21259169, 298.69861538, 243.68988822
357.30658020, 298.78803194, 243.78134741
357.40057750, 298.87746508, 243.87280940
357.49458377, 298.96691506, 243.96427426
357.58859918, 299.05638211, 244.05574207
357.68262389, 299.14586649, 244.14721289
357.77665808, 299.23536844, 244.23868681
357.87070190, 299.32488821, 244.33016390
357.96475552, 299.41442604, 244.42164422
358.05881910, 299.50398218, 244.51312786
358.15289281, 299.59355686, 244.60461489
358.24697678, 299.68315034, 244.69610538
358.34107120, 299.77276284, 244.78759940
358.43517620, 299.86239462, 244.87909704
358.52929194, 299.95204591, 244.97059836
358.62341858, 300.04171694, 245.06210345
358.71755626, 300.13140797, 245.15361238
358.81170513, 300.22111922, 245.24512522
358.90586535, 300.31085093, 245.33664206
359.00003705, 300.40060334, 245.42816297
359.09422037, 300.49037668, 245.51968802
359.18841547, 300.58017119, 245.61121731
359.28262248, 300.66998711, 245.70275090
359.37684155, 300.75982465, 245.79428887
359.47107280, 300.84968407, 245.88583131
359.56531638, 300.93956558, 245.97737830
359.65957243, 301.02946943, 246.06892991
359.75384107, 301.11939584, 246.16048623
359.84812243, 301.20934504, 246.25204734
359.94241666, 301.29931726, 246.34361333
360.03672387, 301.38931273, 246.43518427
360.13104420, 301.47933168, 246.52676025
360.22537777, 301.56937434, 246.61834136
360.31972471, 301.65944093, 246.70992768
360.41408514, 301.74953169, 246.80151929
360.50845918, 301.83964683, 246.89311629
360.60284695, 301.92978659, 246.98471876
360.69724858, 302.01995118, 247.07632679
360.79166418, 302.11014084, 247.16794047
360.88609386, 302.20035579, 247.25955989
360.98053774, 302.29059625, 247.35118513
361.07499594, 302.38086245, 247.44281630
361.16946857, 302.47115460, 247.53445348
361.26395574, 302.56147294, 247.62609676
361.35845755, 302.65181768, 247.71774624
361.45297412, 302.74218904, 247.80940202
361.54750556, 302.83258725, 247.90106418
361.64205196, 302.92301253, 247.99273283
361.73661344, 303.01346510, 248.08440806
361.83119009, 303.10394517, 248.17608998
361.92578202, 303.19445298, 248.26777867
362.02038933, 303.28498873, 248.35947424
362.11501211, 303.37555265, 248.45117680
362.20965047, 303.46614495, 248.54288643
362.30430450, 303.55676586, 248.63460325
362.39897429, 303.64741559, 248.72632737
362.49365994, 303.73809437, 248.81805887
362.58836155, 303.82880240, 248.90979788
362.68307920, 303.91953990, 249.00154449
362.77781298, 304.01030711, 249.09329882
362.87256298, 304.10110422, 249.18506097
362.96732929, 304.19193145, 249.27683106
363.06211200, 304.28278903, 249.36860920
363.15691119, 304.37367717, 249.46039549
363.25172694, 304.46459609, 249.55219005
363.34655934, 304.55554600, 249.64399300
363.44140847, 304.64652711, 249.73580445
363.53627440, 304.73753965, 249.82762451
363.63115723, 304.82858383, 249.91945332
363.72605702, 304.91965986, 250.01129098
363.82097385, 305.01076795, 250.10313761
363.91590780, 305.10190833, 250.19499334
364.01085894, 305.19308121, 250.28685830
364.10582735, 305.28428681, 250.37873259
364.20081310, 305.37552533, 250.47061636
364.29581626, 305.46679699, 250.56250971
364.39083690, 305.55810201, 250.65441280
364.48587508, 305.64944060, 250.74632573
364.58093088, 305.74081298, 250.83824865
364.67600437, 305.83221936, 250.93018168
364.77109561, 305.92365996, 251.02212496
364.86620466, 306.01513498, 251.11407861
364.96133159, 306.10664465, 251.20604279
365.05647646, 306.19818917, 251.29801761
365.15163933, 306.28976877, 251.39000323
365.24682027, 306.38138366, 251.48199978
365.34201933, 306.47303405, 251.57400740
365.43723657, 306.56472016, 251.66602624
365.53247206, 306.65644219, 251.75805643
365.62772584, 306.74820038, 251.85009813
365.72299798, 306.83999492, 251.94215148
365.81828853, 306.93182605, 252.03421663
365.91359754, 307.02369396, 252.12629372
366.00892507, 307.11559889, 252.21838291
366.10427117, 307.20754103, 252.31048436
366.19963590, 307.29952062, 252.40259821
366.29501930, 307.39153786, 252.49472462
366.39042142, 307.48359298, 252.58686375
366.48584232, 307.57568618, 252.67901576
366.58128204, 307.66781768, 252.77118081
366.67674064, 307.75998771, 252.86335905
366.77221815, 307.85219647, 252.95555066
366.86771463, 307.94444420, 253.04775580
366.96323013, 308.03673109, 253.13997463
367.05876468, 308.12905738, 253.23220733
367.15431834, 308.22142328, 253.32445406
367.24989114, 308.31382901, 253.41671499
367.34548314, 308.40627479, 253.50899030
367.44109437, 308.49876084, 253.60128016
367.53672488, 308.59128737, 253.69358476
367.63237470, 308.68385461, 253.78590426
367.72804389, 308.77646279, 253.87823885
367.82373249, 308.86911211, 253.97058871
367.91944052, 308.96180281, 254.06295403
368.01516805, 309.05453510, 254.15533498
368.11091509, 309.14730921, 254.24773176
368.20668170, 309.24012536, 254.34014456
368.30246791, 309.33298377, 254.43257356
368.39827377, 309.42588467, 254.52501897
368.49409931, 309.51882828, 254.61748096
368.58994457, 309.61181484, 254.70995975
368.68580958, 309.70484455, 254.80245553
368.78169439, 309.79791766, 254.89496850
368.87759904, 309.89103439, 254.98749886
368.97352356, 309.98419496, 255.08004682
369.06946799, 310.07739961, 255.17261257
369.16543236, 310.17064856, 255.26519634
369.26141673, 310.26394205, 255.35779833
369.35742111, 310.35728030, 255.45041875
369.45344555, 310.45066355, 255.54305782
369.54949010, 310.54409202, 255.63571575
369.64555478, 310.63756596, 255.72839277
369.74163963, 310.73108559, 255.82108908
369.83774469, 310.82465116, 255.91380492
369.93387001, 310.91826288, 256.00654051
370.03001561, 311.01192101, 256.09929607
370.12618154, 311.10562578, 256.19207184
370.22236784, 311.19937743, 256.28486805
370.31857454, 311.29317620, 256.37768492
370.41480169, 311.38702232, 256.47052270
370.51104932, 311.48091604, 256.56338162
370.60731748, 311.57485759, 256.65626193
370.70360620, 311.66884724, 256.74916386
370.79991553, 311.76288521, 256.84208766
370.89624552, 311.85697175, 256.93503357
370.99259619, 311.95110711, 257.02800186
371.08896760, 312.04529154, 257.12099276
371.18535980, 312.13952528, 257.21400653
371.28177281, 312.23380859, 257.30704343
371.37820670, 312.32814171, 257.40010372
371.47466151, 312.42252490, 257.49318766
371.57113728, 312.51695842, 257.58629551
371.66763406, 312.61144251, 257.67942754
371.76415190, 312.70597744, 257.77258402
371.86069085, 312.80056345, 257.86576522
371.95725097, 312.89520082, 257.95897141
372.05383229, 312.98988979, 258.05220287
372.15043489, 313.08463064, 258.14545989
372.24705881, 313.17942361, 258.23874274
372.34370410, 313.27426899, 258.33205170
372.44037083, 313.36916704, 258.42538707
372.53705905, 313.46411801, 258.51874913
372.63376882, 313.55912219, 258.61213818
372.73050021, 313.65417984, 258.70555451
372.82725327, 313.74929123, 258.79899842
372.92402807, 313.84445665, 258.89247022
373.02082467, 313.93967635, 258.98597021
373.11764314, 314.03495063, 259.07949868
373.21448356, 314.13027976, 259.17305597
373.31134598, 314.22566403, 259.26664237
373.40823049, 314.32110370, 259.36025820
373.50513715, 314.41659908, 259.45390379
373.60206605, 314.51215044, 259.54757945
373.69901726, 314.60775808, 259.64128551
373.79599086, 314.70342228, 259.73502230
373.89298693, 314.79914334, 259.82879015
373.99000555, 314.89492155, 259.92258940
374.08704682, 314.99075721, 260.01642037
374.18411082, 315.08665061, 260.11028342
374.28119765, 315.18260206, 260.20417889
374.37830738, 315.27861186, 260.29810712
374.47544013, 315.37468032, 260.39206847
374.57259599, 315.47080774, 260.48606329
374.66977505, 315.56699443, 260.58009194
374.76697743, 315.66324070, 260.67415478
374.86420322, 315.75954687, 260.76825218
374.96145254, 315.85591326, 260.86238449
375.05872549, 315.95234018, 260.95655211
375.15602220, 316.04882795, 261.05075539
375.25334277, 316.14537691, 261.14499472
375.35068733, 316.24198737, 261.23927049
375.44805600, 316.33865966, 261.33358307
375.54544890, 316.43539412, 261.42793287
375.64286617, 316.53219109, 261.52232027
375.74030794, 316.62905089, 261.61674567
375.83777434, 316.72597387, 261.71120947
375.93526551, 316.82296038, 261.80571208
376.03278159, 316.92001075, 261.90025392
376.13032274, 317.01712534, 261.99483538
376.22788909, 317.11430450, 262.08945690
376.32548080, 317.21154858, 262.18411889
376.42309803, 317.30885795, 262.27882177
376.52074094, 317.40623295, 262.37356599
376.61840970, 317.50367397, 262.46835197
376.71610446, 317.60118136, 262.56318016
376.81382541, 317.69875549, 262.65805099
376.91157271, 317.79639675, 262.75296491
377.00934656, 317.89410550, 262.84792238
377.10714713, 317.99188213, 262.94292385
377.20497461, 318.08972702, 263.03796979
377.30282920, 318.18764056, 263.13306065
377.40071109, 318.28562315, 263.22819692
377.49862048, 318.38367517, 263.32337906
377.59655759, 318.48179703, 263.41860755
377.69452263, 318.57998912, 263.51388289
377.79251580, 318.67825187, 263.60920555
377.89053733, 318.77658567, 263.70457604
377.98858745, 318.87499094, 263.79999485
378.08666638, 318.97346810, 263.89546248
378.18477437, 319.07201757, 263.99097946
378.28291165, 319.17063978, 264.08654629
378.38107846, 319.26933516, 264.18216349
378.47927507, 319.36810415, 264.27783159
378.57750173, 319.46694718, 264.37355111
378.67575869, 319.56586471, 264.46932260
378.77404623, 319.66485717, 264.56514660
378.87236462, 319.76392502, 264.66102365
378.97071414, 319.86306872, 264.75695431
379.06909508, 319.96228873, 264.85293913
379.16750772, 320.06158553, 264.94897868
379.26595236, 320.16095957, 265.04507353
379.36442930, 320.26041134, 265.14122426
379.46293886, 320.35994133, 265.23743144
379.56148134, 320.45955001, 265.33369567
379.66005708, 320.55923788, 265.43001754
379.75866639, 320.65900545, 265.52639765
379.85730961, 320.75885320, 265.62283660
379.95598709, 320.85878165, 265.71933502
380.05469916, 320.95879132, 265.81589351
