stype, stype2, 1 - stype - stype2 
0.00000000, 0.00000000, 0.00000000
257.06801097, 201.38008883, 147.32914175
261.07619378, 204.99443764, 150.38489558
263.58320545, 207.27231946, 152.32648836
265.44882338, 208.97468818, 153.78552729
266.95212155, 210.35051081, 154.96974045
268.22061613, 211.51406829, 155.97480531
269.32374344, 212.52778870, 156.85312350
270.30368188, 213.42968560, 157.63667083
271.18805665, 214.24470498, 158.34646880
271.99598920, 214.99014184, 158.99711432
272.74128767, 215.67850264, 159.59917739
273.43426337, 216.31913793, 160.16057064
274.08282911, 216.91923082, 160.68737943
274.69319567, 217.48442471, 161.18438966
275.27033149, 218.01923805, 161.65543693
275.81827630, 218.52734750, 162.10364505
276.34036112, 219.01178692, 162.53159382
276.83936646, 219.47509041, 162.94143979
277.31763845, 219.91939753, 163.33500508
277.77717579, 220.34653199, 163.71384393
278.21969579, 220.75806163, 164.07929338
278.64668538, 221.15534460, 164.43251242
279.05944101, 221.53956567, 164.77451266
279.45910015, 221.91176477, 165.10618257
279.84666664, 222.27286004, 165.42830700
280.22303097, 222.62366629, 165.74158284
280.58898698, 222.96491019, 166.04663191
280.94524551, 223.29724264, 166.34401148
281.29244570, 223.62124911, 166.63422304
281.63116444, 223.93745823, 166.91771959
281.96192430, 224.24634901, 167.19491179
282.28520024, 224.54835695, 167.46617318
282.60142526, 224.84387919, 167.73184453
282.91099529, 225.13327899, 167.99223765
283.21427333, 225.41688951, 168.24763865
283.51159309, 225.69501707, 168.49831069
283.80326206, 225.96794402, 168.74449642
284.08956425, 226.23593123, 168.98642010
284.37076254, 226.49922020, 169.22428944
284.64710074, 226.75803497, 169.45829719
284.91880545, 227.01258384, 169.68862261
285.18608763, 227.26306074, 169.91543266
285.44914405, 227.50964663, 170.13888318
285.70815852, 227.75251060, 170.35911983
285.96330308, 227.99181089, 170.57627899
286.21473893, 228.22769586, 170.79048853
286.46261738, 228.46030477, 171.00186854
286.70708063, 228.68976853, 171.21053194
286.94826252, 228.91621037, 171.41658504
287.18628915, 229.13974643, 171.62012808
287.42127951, 229.36048633, 171.82125569
287.65334599, 229.57853361, 172.02005728
287.88259486, 229.79398621, 172.21661745
288.10912676, 230.00693687, 172.41101633
288.33303702, 230.21747350, 172.60332989
288.55441610, 230.42567949, 172.79363024
288.77334990, 230.63163406, 172.98198586
288.98992004, 230.83541251, 173.16846188
289.20420419, 231.03708648, 173.35312030
289.41627629, 231.23672421, 173.53602016
289.62620679, 231.43439072, 173.71721774
289.83406291, 231.63014806, 173.89676677
290.03990878, 231.82405542, 174.07471853
290.24380566, 232.01616939, 174.25112202
290.44581212, 232.20654406, 174.42602411
290.64598419, 232.39523118, 174.59946967
290.84437549, 232.58228029, 174.77150163
291.04103738, 232.76773886, 174.94216117
291.23601911, 232.95165240, 175.11148776
291.42936790, 233.13406456, 175.27951926
291.62112907, 233.31501725, 175.44629205
291.81134615, 233.49455070, 175.61184106
292.00006094, 233.67270360, 175.77619986
292.18731365, 233.84951314, 175.93940076
292.37314296, 234.02501509, 176.10147483
292.55758608, 234.19924389, 176.26245201
292.74067884, 234.37223271, 176.42236111
292.92245578, 234.54401352, 176.58122993
293.10295017, 234.71461712, 176.73908525
293.28219411, 234.88407324, 176.89595293
293.46021856, 235.05241054, 177.05185792
293.63705340, 235.21965672, 177.20682429
293.81272750, 235.38583851, 177.36087535
293.98726873, 235.55098176, 177.51403357
294.16070405, 235.71511143, 177.66632071
294.33305950, 235.87825168, 177.81775781
294.50436030, 236.04042587, 177.96836523
294.67463082, 236.20165663, 178.11816269
294.84389468, 236.36196584, 178.26716927
295.01217473, 236.52137471, 178.41540347
295.17949313, 236.67990380, 178.56288321
295.34587133, 236.83757301, 178.70962589
295.51133015, 236.99440167, 178.85564834
295.67588976, 237.15040850, 179.00096693
295.83956973, 237.30561167, 179.14559753
296.00238907, 237.46002884, 179.28955554
296.16436621, 237.61367711, 179.43285595
296.32551904, 237.76657314, 179.57551328
296.48586498, 237.91873307, 179.71754168
296.64542091, 238.07017262, 179.85895486
296.80420327, 238.22090704, 179.99976620
296.96222800, 238.37095118, 180.13998868
297.11951066, 238.52031948, 180.27963495
297.27606632, 238.66902599, 180.41871731
297.43190970, 238.81708438, 180.55724773
297.58705510, 238.96450794, 180.69523788
297.74151644, 239.11130965, 180.83269912
297.89530728, 239.25750211, 180.96964251
298.04844083, 239.40309763, 181.10607885
298.20092995, 239.54810818, 181.24201864
298.35278718, 239.69254543, 181.37747214
298.50402474, 239.83642077, 181.51244934
298.65465455, 239.97974530, 181.64696000
298.80468823, 240.12252985, 181.78101364
298.95413711, 240.26478496, 181.91461954
299.10301224, 240.40652096, 182.04778677
299.25132442, 240.54774789, 182.18052417
299.39908417, 240.68847558, 182.31284041
299.54630178, 240.82871361, 182.44474391
299.69298728, 240.96847134, 182.57624293
299.83915047, 241.10775792, 182.70734553
299.98480093, 241.24658227, 182.83805959
300.12994802, 241.38495314, 182.96839283
300.27460087, 241.52287904, 183.09835275
300.41876841, 241.66036833, 183.22794675
300.56245939, 241.79742915, 183.35718201
300.70568234, 241.93406948, 183.48606560
300.84844561, 242.07029712, 183.61460441
300.99075737, 242.20611970, 183.74280520
301.13262560, 242.34154467, 183.87067457
301.27405812, 242.47657935, 183.99821899
301.41506258, 242.61123088, 184.12544481
301.55564646, 242.74550626, 184.25235822
301.69581710, 242.87941233, 184.37896531
301.83558165, 243.01295581, 184.50527204
301.97494716, 243.14614326, 184.63128424
302.11392049, 243.27898112, 184.75700763
302.25250839, 243.41147568, 184.88244781
302.39071744, 243.54363312, 185.00761029
302.52855413, 243.67545950, 185.13250046
302.66602477, 243.80696073, 185.25712359
302.80313559, 243.93814264, 185.38148488
302.93989266, 244.06901091, 185.50558940
303.07630195, 244.19957114, 185.62944214
303.21236932, 244.32982878, 185.75304801
303.34810048, 244.45978923, 185.87641179
303.48350107, 244.58945773, 185.99953821
303.61857660, 244.71883946, 186.12243188
303.75333249, 244.84793949, 186.24509737
303.88777402, 244.97676277, 186.36753911
304.02190642, 245.10531420, 186.48976150
304.15573480, 245.23359856, 186.61176883
304.28926415, 245.36162054, 186.73356533
304.42249941, 245.48938475, 186.85515514
304.55544541, 245.61689572, 186.97654235
304.68810688, 245.74415790, 187.09773095
304.82048847, 245.87117564, 187.21872489
304.95259477, 245.99795323, 187.33952803
305.08443024, 246.12449487, 187.46014418
305.21599931, 246.25080469, 187.58057707
305.34730630, 246.37688675, 187.70083037
305.47835546, 246.50274504, 187.82090770
305.60915097, 246.62838347, 187.94081261
305.73969692, 246.75380587, 188.06054859
