stype, stype2, 1 - stype - stype2 
0.00000000, 0.00000000, 0.00000000
253.90865018, 198.80029401, 144.88701789
257.87341148, 202.42620436, 147.90486900
260.35818452, 204.71795730, 149.82410987
262.20894136, 206.43441580, 151.26742591
263.70111074, 207.82413336, 152.43965255
264.96072978, 209.00129258, 153.43514885
266.05649173, 210.02830873, 154.30560041
267.03014949, 210.94320881, 155.08254934
267.90906192, 211.77095999, 155.78673373
268.71217263, 212.52887960, 156.43255482
269.45316495, 213.22949524, 157.03044165
270.14225931, 213.88217676, 157.58820178
270.78730010, 214.49412452, 158.11184011
271.39444533, 215.07099728, 158.60607948
271.96862185, 215.61732709, 159.07470515
272.51383601, 216.13680274, 159.52080002
273.03339157, 216.63246884, 159.94691025
273.53004654, 217.10686915, 160.35516431
274.00612823, 217.56215184, 160.74736067
274.46361939, 218.00014839, 161.12503342
274.90422376, 218.42243362, 161.48950233
275.32941656, 218.83037204, 161.84191143
275.74048409, 219.22515413, 162.18325927
276.13855497, 219.60782509, 162.51442292
276.52462523, 219.97930781, 162.83617714
276.89957849, 220.34042149, 163.14920987
277.26420248, 220.69189678, 163.45413496
277.61920257, 221.03438830, 163.75150253
277.96521299, 221.36848491, 164.04180765
278.30280623, 221.69471838, 164.32549754
278.63250088, 222.01357063, 164.60297759
278.95476826, 222.32547984, 164.87461656
279.27003807, 222.63084568, 165.14075087
279.57870325, 222.93003372, 165.40168835
279.88112403, 223.22337928, 165.65771142
280.17763158, 223.51119072, 165.90907988
280.46853108, 223.79375229, 166.15603328
280.75410436, 224.07132661, 166.39879299
281.03461230, 224.34415684, 166.63756406
281.31029688, 224.61246859, 166.87253677
281.58138297, 224.87647159, 167.10388805
281.84807992, 225.13636117, 167.33178273
282.11058301, 225.39231957, 167.55637462
282.36907466, 225.64451708, 167.77780749
282.62372558, 225.89311310, 167.99621597
282.87469575, 226.13825705, 168.21172625
283.12213533, 226.38008922, 168.42445685
283.36618543, 226.61874148, 168.63451923
283.60697884, 226.85433797, 168.84201829
283.84464073, 227.08699569, 169.04705296
284.07928914, 227.31682505, 169.24971661
